dataset_column,primary_actor_or_tool,secondary_actor_or_tool,validation_rule
Family Office Name,apify/google-search-scraper,official website or LinkedIn company,"Accept only when name matches across two or more public sources or one authoritative regulatory source"
FO Type,website-content-crawler,SEC IAPD or LinkedIn company,"Classify as SFO MFO foundation holding company or investment office only when source text supports it"
Data Validation Period,pipeline script,source timestamps,"Use validation run date and source snapshot date"
Data Completion Score,pipeline script,field evidence registry,"Score only verified or source-backed fields; placeholders score zero"
Confidence Grade,pipeline script,validation rules,"26-30 highest; 21-25 high; 16-20 medium; below 16 needs review"
Family Office Description,website-content-crawler,linkedin-company-scraper,"Prefer official About or profile text; summarize without adding unsourced claims"
Investment Thesis,website-content-crawler,cheerio-scraper or playwright-scraper,"Require official investment strategy page portfolio page Form ADV or credible article"
Investing Sectors,website-content-crawler,linkedin-company-scraper or crunchbase-scraper,"Use official sector language first; Crunchbase is supplementary"
AUM / Assets / Capital Base,SEC IAPD or Form ADV,official website or credible news,"Leave blank if not public; never estimate without source note"
Family Office Domain,google-search-scraper,company enrichment,"Domain must resolve and align with entity name or source references"
Family Office Website Address,google-search-scraper,website-content-crawler,"Use official domain only; directory URLs are not final websites"
URL Quality,pipeline URL validator,Google Places,"Highest only if official live HTTPS brand/domain match"
Corporate LinkedIn Address,linkedin-company-scraper,google-search-scraper,"Company page must match website name and domain"
Family Office Street Address,Google Places,official contact page or IAPD,"Use official/contact/regulatory source; do not infer from city"
Family Office City,Google Places,official contact page or IAPD,"Must be supported by address source"
Family Office State / Region,Google Places,official contact page or IAPD,"Must be supported by address source"
Family Office Country,Google Places,official contact page or IAPD,"Must be supported by address source"
Contact First Name,official team page,linkedin-profile-scraper,"Only for public decision-makers tied to the FO"
Contact Last Name,official team page,linkedin-profile-scraper,"Only for public decision-makers tied to the FO"
Contact Full Name,official team page,linkedin-profile-scraper,"Must match a public source"
Contact Job Title,official team page,linkedin-profile-scraper or IAPD,"Prefer official title; LinkedIn is corroboration"
Contact Location,linkedin-profile-scraper,official bio or news,"Leave blank when not public"
Contact LinkedIn Profile,google-search-scraper,linkedin-profile-scraper,"Use public /in/ profile URL only; no private or guessed profiles"
Contact Primary Email,contact-info-scraper,official contact page,"Prefer role/company inboxes; named emails require public source"
Primary E-Mail Validation Code,email-verifier,contact source registry,"Store verifier result such as ok invalid catch_all unknown error"
Primary E-Mail Code Explanation,email-verifier,pipeline mapping,"Explain result meaning; catch_all is risky not verified"
Email Quality Assessment Primary,email-verifier,pipeline mapping,"Good only for public-source email with ok result; risky for catch_all or unknown"
Primary Phone Number,Google Places,contact-info-scraper or official contact page,"Use only public source-backed office numbers"
Contact Secondary Email,contact-info-scraper,official contact page,"Only source-backed public email"
Secondary E-Mail Validation Code,email-verifier,contact source registry,"Same as primary"
Secondary E-Mail Explanation,email-verifier,pipeline mapping,"Same as primary"
Email Quality Assessment Secondary,email-verifier,pipeline mapping,"Same as primary"
Secondary Phone Number,Google Places,official contact page,"Only source-backed public number"
source_1_url,source registry,all collection actors,"First-party source preferred"
source_2_url,source registry,all collection actors,"Independent corroborating source"
source_3_url,source registry,all collection actors,"Regulatory LinkedIn Google Places or credible news source"
source_snapshot_date,all actors,pipeline script,"UTC actor run timestamp or HTTP validation timestamp"
entity_validation_status,pipeline validator,SEC IAPD or official sources,"Verified only if identity website location and mandate signal pass gates"
contact_validation_status,pipeline validator,email-verifier and contact source,"Verified only when contact is public-source backed and email or phone is validated or official"
confidence_score,pipeline validator,field evidence registry,"30-point field-level scoring model"
validation_notes,pipeline validator,human review,"Record caveats missing fields and exact validation logic"
