query,position,title,url,domain,description,triage_status,triage_reason
"""family investment office"" ""portfolio""",1,Our Portfolio,https://dancap.ca/our-investments/our-portfolio/,dancap.ca,"Our Investment Portfolio spans across multiple asset strategies, geographies, and currencies. ... © 2026 Dancap Family Investment Office.Read more",reject,snippet/title lacks direct family-office language
"""family investment office"" ""portfolio""",2,Family Investment Office,https://www.thomvest.com/family-investment-office,thomvest.com,"The Thomvest Family Investment Office, based in Toronto, manages all other Thomvest investments outside of those in the Thomvest Ventures portfolio.Read more",reject,snippet/title lacks direct family-office language
"""family investment office"" ""portfolio""",3,Longwall Family Office: Portfolio Management Services,https://www.longwallfamilyoffice.com/,longwallfamilyoffice.com,"Longwall Family Office, Comprehensive portfolio management for high-net-worth families and foundations. Customized portfolio construction, risk management, ...",candidate_raw,own-domain result with direct family-office language
"""family investment office"" ""portfolio""",4,Seven considerations before creating a family office,https://www.bbh.com/us/en/insights/capital-partners-insights/seven-considerations-before-creating-a-family-office.html,bbh.com,BBHCP Private Equity Portfolio Companies · BBH Cedar Street ... family's investment office. One related issue to be aware of is that ...Read more,reject,non-entity result
"""family investment office"" ""portfolio""",5,29 Largest Family Offices (2026),https://praxisrock.com/resources/investors/largest-family-offices,praxisrock.com,"Al Maktoum Family Investment Office ... Mousse Partners, the investment arm of Mousse Investments Limited (formerly Litor Limited), manages a global portfolio on ...Read more",reject,non-entity result
"""family investment office"" ""portfolio""",6,Top Family Offices in United States - Axial,https://www.axial.net/forum/companies/united-states-family-offices/10/,axial.net,"Explore 515 United States Family Offices with recent M&A activity. Axial is an M&A platform that connects business owners, investors, and M&A advisors ...",reject,non-entity result
"""family investment office"" ""portfolio""",7,Dancap Family Investment Office,https://angelspartners.com/firm/dancap-family-investment-office,angelspartners.com,"The Dancap Family Investment Office, established in 2000 and based in Toronto, Canada, is a Single Family Office that manages the investment portfolio for ...Read more",candidate_raw,own-domain result with direct family-office language
"""family investment office"" ""portfolio""",8,List of top Family Investment Offices,https://www.crunchbase.com/hub/family-investment-offices,crunchbase.com,"This list of family investment offices provides data on their investment activities, fund raising history, portfolio companies, and recent news.Read more",reject,directory/social/regulator result; use only as corroboration or lookup
"""family investment office"" ""portfolio""",9,What I Learned Growing Up In A Family Investment Office,https://hutner.capital/what-i-learned,hutner.capital,"What I Learned Growing Up In A Family Investment Office ... For example, when I was a teenager in the 1960s, a typical million-dollar portfolio (our minimum) ...Read more",reject,non-entity result
"""family investment office"" ""portfolio""",10,Family Investment Office - Wealth Management,https://www.eandp.com.au/wealth-management/family-investment-office/,eandp.com.au,... Family Investment Office ... We are committed to creating a personalised portfolio that provides the most effective investment outcome for your family.Read more,reject,snippet/title lacks direct family-office language
