name,linkedinUrl,website,description,industry,companyType,companySize,employeeCount,followerCount,headquarters,street,city,state,country,postalCode,specialties,logoUrl,scrapedAt,foundedYear
Pathstone,https://linkedin.com/company/pathstone-family-office,http://www.pathstone.com,"Pathstone is an investment and wealth advisory firm serving individuals and families of significant wealth, family offices, and institutions. We seek to provide our clients with deep expertise across a range of disciplines—based on their unique circumstances. Pathstone offers investment advisory, wealth and legacy planning, professional services, and many aspects of lifestyle management, delivered in-house and integrated into a highly personalized client experience. ",Financial Services,Privately Held,"501-1,000 employees",843.0,17250.0,"Englewood, New Jersey",10 Sterling Blvd,Englewood,New Jersey,US,07631,"['Family Office Services', 'Investment Advice', 'Tax Planning', 'Estate Planning', 'Bill Pay', 'Accounts Receivable', 'ESG Investing', 'Environmental', 'Social', 'Governance Investing', 'Socially Responsible Investing', 'Investment Solutions', 'Family Office Structuring', 'Tax Advice', 'Tax Savings', 'Fee Savings']",https://media.licdn.com/dms/image/v2/D4D0BAQEaza5DUS55ZA/company-logo_200_200/B4DZnEXMLBH0AM-/0/1759936040384?e=2147483647&v=beta&t=1FP0eHnG9yIBsJARdus_egwx1IeoztW1tStzcaZl6_o,2026-05-17T04:04:39.711Z,
Private Wealth Asset Management,https://www.linkedin.com/company/private-wealth-asset-management,http://www.privatewealth.com,"Private Wealth Asset Management is an independent financial advisory firm offering private wealth management services to high-net-worth individuals, families and institutions. Private Wealth surrounds clients with a circle of services, delivered by financial subject matter experts from a wide range of disciplines to provide comprehensive advice and service, personalized to the needs of each client. 

The decision to launch as an independent firm was fueled by a desire to do better for both clients and team members. Private Wealth works with clients to identify custom solutions—including fiduciary lending, specialty asset management (oil and gas, alternative energy, farms and ranches), estate and generational wealth planning, trust and estate services, property & casualty insurance management, health care advisory, business transition planning, tax management and more. 

Founded by experienced wealth management professionals, Private Wealth believes clients in any size market deserve outstanding care and service. Private Wealth serves clients nationally and has offices in Cedar Rapids and West Des Moines, Iowa; Omaha, Nebraska; San Antonio, Midland, and Corpus Christi, Texas. 

To learn more about Private Wealth, visit privatewealth.com. ",Financial Services,Privately Held,11-50 employees,44.0,1863.0,"Cedar Rapids, Iowa",411 6th Ave SE,Cedar Rapids,Iowa,US,52401-2158,[],https://media.licdn.com/dms/image/v2/C560BAQGmQEOhgMUOsQ/company-logo_200_200/company-logo_200_200/0/1656509978695/private_wealth_asset_management_logo?e=2147483647&v=beta&t=W7aCYHL01IoTLSbXwMJyO5CBCvxfOe53O1s0fd9WJ2A,2026-05-17T04:04:43.322Z,2021.0
AlTi Tiedemann Global,https://www.linkedin.com/company/altiglobal,https://alti-global.com/,"AlTi is a global wealth and investment partner to families, foundations and institutions, helping clients activate capital with clarity, bring structure to complexity, and plan with purpose across borders and generations.  AlTi combines the breadth of a global firm with the service offering of a family office to deliver solutions designed to meet the full complexity of wealth and capital. ",Financial Services,Public Company,201-500 employees,373.0,25016.0,,,,,,,[],https://media.licdn.com/dms/image/v2/C4E0BAQHacZTJpskKPw/company-logo_200_200/company-logo_200_200/0/1671718078200/altiglobal_logo?e=2147483647&v=beta&t=UvzQ1hnP6MxT_tOFgahKL1CAIM6FbTj1rVJlCSvbwDc,2026-05-17T04:04:51.311Z,
Omnia Family Wealth,https://www.linkedin.com/company/omnia-family-wealth,http://www.omniawealth.com,"Omnia Family Wealth is a multi-family office based in Aventura, Florida. Our firm is comprised of financial industry veterans who decided they wanted to be able to freely place their clients’ interests first. The firm was formed from a desire to provide independent, multi-generational advice without sales mandates.

We work with families to provide wealth guidance for challenges they face now, and the challenges their children may face in the coming years. The most important thing we do is ask questions, and then listen intently. The answers to these questions define the mandate for each family:

     *What does your money mean to you?
     *What do you want your wealth to accomplish?
     *What are the immediate challenges that worry you?
     *What are your dreams?
     *What do you want your legacy to be?
     *Who do you want to inherit your wealth? Is it your children? Is it your 
       philanthropy? Is it your family foundation? Do you have extended family?

With more than 70 years of collective wealth management experience, we know what works best for families, and what doesn’t. With three generations represented among the founders, we’ve attracted large families who are seeking multi-generational advice.

Omnia Family Wealth, LLC is a registered investment advisor. Omnia Family Wealth provides investment advisory and related services for clients nationally. Omnia Family Wealth will maintain all applicable registration and licenses as required by the various states in which Omnia Family Wealth conducts business. For additional information, please visit our website at www.omniawealth.com.

For award disclosures, please visit: https://omniawealth.com/awards-disclosures/",Financial Services,Partnership,2-10 employees,12.0,634.0,"Aventura, Florida",18851 NE 29th Ave,Aventura,Florida,US,33180,"['Wealth Management', 'Investment Advice', 'Financial Planning', 'Multi Family Office', 'Business Plannning', 'Tax Planning', 'Estate Planning', 'Business Succession Planning', 'Risk Management']",https://media.licdn.com/dms/image/v2/D4E0BAQGXQbBwUrYrSg/company-logo_200_200/B4EZkz8H8sGcAI-/0/1757513023948/omnia_family_wealth_logo?e=2147483647&v=beta&t=eBEA6DE8HZOfJHXc2GDePFJdwMYCOGbiZLnHbUKiBPY,2026-05-17T04:04:57.608Z,2015.0
Aspiriant,https://www.linkedin.com/company/aspiriant,http://www.aspiriant.com,"We’re Aspiriant, a national, independent wealth management firm that is 100% employee owned. We focus on creating clarity and peace of mind for our clients.

We’ve invested a vast amount of thought and energy into structuring our firm and business model to be unique and sustainable – and focused on growing with you to match your financial complexity. To help you realize your vision for your life, our team of experts integrate financial planning, investment management and ongoing execution. There is much more, if and when you need it: tax management, estate planning, philanthropy, and more.

Like what you hear? Follow us here and reach out to us.",Investment Management,Privately Held,201-500 employees,243.0,7362.0,"Los Angeles, CA",11100 Santa Monica Blvd.,Los Angeles,CA,US,90025,"['Wealth Management', 'Financial Planning', 'Investment Management', 'Family Office', 'Estate Planning', 'Charitable Giving', 'Tax Planning', 'Risk Management', 'Concentrated Stock Wealth', 'Compensation Structuring', 'Legacy Planning', 'Succession Planning', 'Wealth Transition', 'Retirement Planning', 'Insurance Review', 'Foundation Management', 'Bill & Debt Management', 'Stock Options']",https://media.licdn.com/dms/image/v2/D560BAQH9pijy4ABL1Q/company-logo_200_200/company-logo_200_200/0/1703103256527/aspiriant_logo?e=2147483647&v=beta&t=OmUJSeeQnr-cnDOMCT_N435KufARBiefmdqoOX7r-7w,2026-05-17T04:05:04.608Z,
Stonehage Fleming,https://www.linkedin.com/company/stonehagefleming,http://www.stonehagefleming.com,"Stonehage Fleming is adviser to many of the world’s leading families and wealth creators. 

We help families manage and protect their wealth now and for future generations. 
To meet their needs we are able to draw on a rich array of in-house experience and expertise to manage and protect their wealth; we also work closely with families’ existing offices, advisers and our extensive network of professional firms.

Our relationships with clients would typically include:
 - Helping define the purpose of the family wealth, its governance and succession plans.
 - Managing and administering international structures such as trusts and companies.
 - Managing investment portfolios on a discretionary and advisory basis.
 - Ensuring plans are in place for all phases of the financial life cycle and that wealth is structured efficiently
 - Identification and mitigation of the full spectrum of risks to family wealth.
 - Reviewing legal structures, taking account of cross-border and inter-generational considerations.
 - Sourcing and advising on private capital investment opportunities.
 - Creating reports aggregating and analysing all aspects of client wealth.
 - Coordination and execution of all banking and treasury needs.
 - Advising on matters of corporate finance for the family business and other commercial interests.
 - Management of art collections and other lifestyle assets.

We have a rich array of in-house expertise but we also work closely with families’ existing advisers and our network of experienced professional partners, in particular lawyers, accountants and trustees. Our scale and market presence enable us to identify the best professional partners internationally. We deliver the optimal combination of internal and external advice based on client needs.

Keep up to date with our latest news and insights here: https://www.stonehagefleming.com/insights",Financial Services,Privately Held,"501-1,000 employees",982.0,50163.0,"Jersey, Channel Islands",Floor 4  Liberation House,Jersey,Channel Islands,GB,JE1 4HH,"['Family Office Advisory', 'Expert Fiduciary', 'Legal and Tax Advisory', 'Dealing & Treasury', 'Expert Reporting', 'Philanthropy', 'Art Management', 'Corporate Services', 'Investment Management', 'Family Office', 'Private Equity', 'Direct Investments', 'Sports & Entertainment', 'Financial Planning', 'Wealth Management', 'Wealth Planning', 'Trust & Estate', 'Succession & Governance', 'Dealing & Treasury', 'Property Advisory', 'Insurance Services']",https://media.licdn.com/dms/image/v2/D4E0BAQEBrTH5d_Qjzw/company-logo_200_200/company-logo_200_200/0/1688373501402/stonehagefleming_logo?e=2147483647&v=beta&t=ct-32tgZDuMrVsPuOuGsM0_NQfsBm_SCuZ8UfYfocG4,2026-05-17T04:05:09.011Z,1976.0
Fiduciary Trust International,https://www.linkedin.com/company/fiduciary-trust-international,http://www.fiduciarytrust.com,"Fiduciary Trust International is a wealth management firm focused on building and managing personalized portfolios and developing estate plans that extend wealth to future generations.

We work closely with individuals, families and foundations to build and manage personalized investment portfolios, and to develop estate plans that extend wealth to future generations.

We are part of the Franklin Templeton Investments family of companies. 

Communications are intended solely to provide general information. The information and opinions stated are as of the date referenced, and may change without notice. The information and opinions do not represent a complete analysis of every material fact regarding any market, industry, sector or security. Statements of fact have been obtained from sources deemed reliable, but no representation is made as to their completeness or accuracy. The opinions expressed are not intended as individual investment, tax or estate planning advice or as a recommendation of any particular security, strategy or investment product. Please consult your personal advisor to determine whether this information may be appropriate for you. Information is provided solely for insight into our general management philosophy and process. Historical performance does not guarantee future results and results may differ over future time periods. 

LinkedIn is owned by a third party unaffiliated with us. We are not responsible for LinkedIn’s privacy, security, or terms of use policies that control this service, nor their content, software, or tools (or those of any third party’s) that are available through links from this page. You use any third-party site/media, software and materials at your own risk. 

View our Terms and Conditions at http://www.fiduciarytrust.com/disclosure

©2025 Fiduciary Trust International. All rights reserved.",Investment Management,Public Company,201-500 employees,464.0,6874.0,"New York, NY",One Madison Avenue,New York,NY,US,10010,"['Investment Management', 'Wealth Structuring', 'Trust and Estate Services', 'Custody Services']",https://media.licdn.com/dms/image/v2/C4D0BAQE5giQRv5BL0A/company-logo_200_200/company-logo_200_200/0/1630468885814/fiduciary_trust_company_logo?e=2147483647&v=beta&t=Sf76ZAsxmrG4uKkQndcBmC75-_jxwhb2TyNeFx9yBPM,2026-05-17T04:05:14.411Z,1931.0
Laird Norton Wetherby,https://www.linkedin.com/company/lnwadvisors,http://lnwadvisors.com,"Laird Norton Wetherby (LNW) serves exceptional families and individuals seeking to activate the full potential of their wealth. To help turn lifelong ambitions and multigenerational aspirations into reality, LNW brings to each client relationship a high level of care combined with deep expertise in wealth planning, investment management and trust services. 

Offering both RIA (Registered Investment Advisor) and trust services, LNW is committed to providing clients with unbiased, independent guidance and solutions. LNW has offices in Seattle, San Francisco, New York, Los Angeles and Philadelphia, as well as an affiliated trust company in South Dakota, empowering clients across the U.S. and around the world.

LNW is owned by employees and majority owned by Laird Norton Company, one of the longest-sustained family enterprises in the United States.",Financial Services,Privately Held,51-200 employees,170.0,1431.0,"Seattle, Washington",801 2nd Ave,Seattle,Washington,US,98104,"['independent financial advice', 'wealth planning', 'financial planning', 'investment management', 'philanthropic planning', 'trust services', 'estate planning', 'multigenerational wealth planning', 'family office services', 'retirement planning', 'impact investing', 'esg investing']",https://media.licdn.com/dms/image/v2/D560BAQG39xho_FR-ZA/company-logo_200_200/company-logo_200_200/0/1704934139020?e=2147483647&v=beta&t=ytb3uZIEt45N8iw7fQFy-hKJc0M4FnBeEFNnEvgwgRk,2026-05-17T04:05:21.008Z,1967.0
HB Wealth,https://www.linkedin.com/company/hbwealth,https://hbwealth.com/,"Founded in 1989, HB Wealth is a national independent wealth management firm providing fiduciary, fee-only wealth advisory services, investment management, and family office services. As one of the country’s largest fee-only registered investment advisers (RIAs), HB Wealth is headquartered in Atlanta with more than 300 employees operating out of 12 offices across six states, managing over $29 billion for individuals, families, and institutions. With a mission of bringing unwavering financial peace of mind to the clients we are privileged to serve, HB Wealth delivers comprehensive advice and concierge-level care through a fee-only approach. Think of it as the fiduciary standard, elevated. Learn more at hbwealth.com.",Financial Services,Privately Held,201-500 employees,372.0,7201.0,"Atlanta, Georgia",3550 Lenox Rd NE,Atlanta,Georgia,US,30326,"['Wealth Management', 'Investment Management', 'Financial Planning', 'Estate Planning', 'Tax Planning', 'Risk Management', 'Family Office Services', 'Consolidated Reporting']",https://media.licdn.com/dms/image/v2/D4E0BAQHABQueMT7o2A/company-logo_200_200/B4EZi9TuwfGwAI-/0/1755522723106/homrichberg_logo?e=2147483647&v=beta&t=1mjgu-alV6gxodktEVqr58U5tbW9mLX8YgKgUQ0iVFA,2026-05-17T04:05:25.514Z,
Wren Investment Office,https://www.linkedin.com/company/wren-investment-office,http://www.wreninvestmentoffice.com,"Wren Investment Office was established in 2016 and is managed by four experienced professionals who have a decade of working together in the private wealth sector. It is backed by WE Family Offices in the US, recently named Multi-Family Office Team of the Year by Family Wealth Report, and MdF Family Partners, one of the leading independent Multi-Family Offices in Continental Europe.",Financial Services,Privately Held,11-50 employees,15.0,1412.0,"London, Greater London",84 ECCLESTON SQUARE,London,Greater London,GB,SW1V 1PX,[],https://media.licdn.com/dms/image/v2/C560BAQHzgMrlnSrsvA/company-logo_200_200/company-logo_200_200/0/1630584419621/wren_investment_office_logo?e=2147483647&v=beta&t=gXVu8gpc-tswjgg5yrbwNQIUaMF4e3vr4AMO_zoSSCk,2026-05-17T04:05:28.911Z,2016.0
