record_id,family_office_name,family_office_type,description,investment_thesis,investing_sectors,aum_text,website_url,corporate_linkedin_url,street_address,city,state_region,country,principal_name,principal_title,principal_linkedin_url,primary_email,primary_phone,recent_activity,source_urls,source_notes,extraction_method,evidence_quality,uncertainty_notes
fo_001,Cat Trail Capital,single_family_office,Single-family office serving the Dekker family,Manages Dekker family capital through public securities fund managers real assets and select private companies,Public securities; fund managers; real assets; private companies,,https://www.cattrail.com/,,,New York,NY,United States,Dekker family,Principal family,,,,,https://www.cattrail.com/; https://www.cattrail.com/#About; https://www.cattrail.com/#Team,Official website explicitly says single-family office serving the Dekker family and describes investment management,manual_research,primary,High-confidence SFO because classification comes from the entity website not a directory
fo_002,Ralph Family Office,single_family_office,UK private investment company operating as a dedicated single-family office,Invests long-term family capital across property operating businesses and private investments,Healthcare; artificial intelligence; UK real estate; aviation; food and beverage,,https://www.ralphfamilyoffice.com/,,,London,,United Kingdom,Ralph family,Principal family,,,,,https://www.ralphfamilyoffice.com/; https://find-and-update.company-information.service.gov.uk/company/11031775,Official website states it is a UK-registered private investment company operating as a dedicated single-family office and Companies House validates the legal entity,manual_research,primary,Single-page official site is supported by UK company registry record
fo_003,Ohana Advisors,multi_family_office,Boutique SEC-registered adviser providing comprehensive multi-family office and financial services to ultra-high-net-worth clientele,Functions as each client private family office with tailored investment and family wealth services,Family office services; investment advisory; financial services; UHNW planning,,https://www.ohanaadvisors.com/,,,California,,United States,,,,,,,https://www.ohanaadvisors.com/; https://www.ohanaadvisors.com/disclosures-form-adv,Official disclosures page explicitly states multi-family office services and SEC registered investment adviser status,manual_research,primary,Regulatory details should be expanded with exact IAPD CRD after Form ADV extraction
fo_004,Longwall Family Office,multi_family_office,Family office advisory firm providing portfolio management and broader family office services,Provides investment management plus estate charitable insurance tax and education coordination,Portfolio management; estate planning coordination; charitable giving; tax coordination,,https://www.longwallfamilyoffice.com/,,,McLean,VA,United States,,,,,,,https://www.longwallfamilyoffice.com/; https://www.longwallfamilyoffice.com/what-we-do; https://www.longwallfamilyoffice.com/disclosures,Official site describes what a family office is and states Longwall offers these services,manual_research,primary,Service-provider MFO not a single-family office
fo_005,SJS Investment Services,multi_family_office,Investment adviser with a dedicated multi-family office service for complex multigenerational families,Acts as a centralized command center coordinating estate tax accounting legal and investment strategy,Multi-family office; estate planning; tax coordination; investment management; reporting,,https://www.sjsinvest.com/,,,Sylvania,OH,United States,,,,,,,https://www.sjsinvest.com/; https://www.sjsinvest.com/multi-family-office,Official multi-family office page describes services threshold and family wealth use cases,manual_research,primary,Accepted as MFO service provider based on explicit official page language
fo_006,CM Wealth,multi_family_office,Multi-family office that began as a single-family office and now serves more than 30 families,Provides investment wealth management philanthropic and lifestyle services for multigenerational families,Investment management; wealth management; philanthropy; family office services,Official site states more than 2000000000 in assets,https://www.cmwealthadvisors.com/,,,Beachwood,OH,United States,,,,,,,https://www.cmwealthadvisors.com/; https://www.cmwealthadvisors.com/services; https://www.cmwealthadvisors.com/s/2026-03-24-Form-ADV-Part-2A-Final.pdf,Official site gives origin story as single-family office plus assets and service model,manual_research,primary,Strong MFO because the site discloses family count and AUM language
fo_007,JFG Family Office,multi_family_office,Family office and wealth management firm that began as a private investment company for its founding family,Allows client families to access the founding family aligned investment platform and advisory services,Family office; wealth management; investment access; family governance,,https://jfgfamilyoffice.com/,,,Denver,CO,United States,Johnson family,Founder family,,,,,https://jfgfamilyoffice.com/; https://jfgfamilyoffice.com/better-way; https://jfgfamilyoffice.com/pdf/JFG-Family-Office-Form-CRS.pdf,Official site states single-family-office origin and current family office model,manual_research,primary,Former jfgwealth.net redirects to current jfgfamilyoffice.com brand
fo_008,Lennertz & Co.,multi_family_office,Owner-managed family office focused on development and value growth of client family assets,Provides asset structuring asset development asset transition and entrepreneurial investing,Family office; private equity; venture capital; real estate; impact investing,,https://www.lennertz.com/en,,,Hamburg,,Germany,,,,,,,https://www.lennertz.com/en; https://www.lennertz.com/en#family-office,Official website describes owner-managed family office and family office services,manual_research,primary,Regulated German platform should be supplemented with BaFin registry in a later pass
fo_009,Venitage,multi_family_office,Twin Cities multi-family office providing family office and business consulting services,Assists families with long-term life and financial goals while coordinating existing advisers,Family office services; business consulting; family governance; wealth coordination,,https://venitage.com/,,,Minneapolis,MN,United States,,,,,,,https://venitage.com/; https://venitage.com/lander,Official site describes Venitage as a Twin Cities-based multi-family office,manual_research,primary,Small boutique profile with limited public investment detail
fo_010,Boston Multi Family Office,multi_family_office,Multi-family office that began as a single-family office and serves family office clients globally,Supports family wealth governance asset management and decision making through dedicated relationship management,Family office; wealth governance; asset management; reporting; fiduciary services,,https://bostonmfo.com/,,,Douglas,,Isle of Man,,,,,,,https://bostonmfo.com/; https://bostonmfo.com/services/family-office/,Official family office service page states single-family-office origin and multi-family office model,manual_research,primary,Jurisdiction and regulatory details should be enriched from Isle of Man records later
fo_011,The O'Donnell Group,multi_family_office,Wealth advisory firm providing family office services for families with complex financial lives,Acts as a private office coordinating investments daily administration CPAs attorneys and advisors,Family office services; investment oversight; bill pay; tax payments; reporting; advisor coordination,,https://www.ogwealth.com/,,,Chico,CA,United States,,,,,,,https://www.ogwealth.com/; https://www.ogwealth.com/our-services/family-office; https://www.ogwealth.com/s/OG-Wealth_Form-ADV-Part-2A-Chico-Wealth-RIA-INC_02-02-2026_FINAL.pdf,Official family office services page and ADV brochure provide primary corroboration,manual_research,primary,Accepted as a family-office service provider rather than a traditional single-family office
fo_012,SSA Swiss Advisors AG,multi_family_office,Swiss SEC-registered adviser offering multi-family office and investment advisory services,Serves high-net-worth individuals trusts and family offices through discretionary and non-discretionary accounts,Multi-family office; investment advisory; discretionary portfolios; HNWI services,,https://www.ssa-wa.com/,,,Zurich,,Switzerland,Jaime Malda,Chief Executive Officer,,,,,https://www.ssa-wa.com/; https://www.ssa-wa.com/files/SSA-Form-ADVPart2A.pdf,Official ADV brochure states multi-family office services and SEC registration,manual_research,primary,Affiliation with Santander should be preserved as context not treated as a standalone family office
fo_013,Scott Capital Partners,multi_family_office,UK independent multi-family office providing investment management family office governance and private market services,Acts alongside ultra-high-net-worth client families to preserve and enhance wealth with purpose,Investment management; family governance; family office services; private markets,,https://scottcp.com/,,,London,,United Kingdom,David Scott,Managing Partner and CEO,,,,,https://scottcp.com/; https://scottcp.com/wp-content/uploads/2025/06/Brochure-Form-ADV-Part-2A.pdf,Official ADV brochure explicitly describes the firm as an independent multi-family office,manual_research,primary,Very strong MFO evidence because ADV language is explicit and current
fo_014,Third View Private Wealth,multi_family_office,Independent private wealth advisory firm offering multi-family office services to high-net-worth and ultra-high-net-worth families,Provides institutional investing financial planning trust and estate advisory tax advisory and family enterprise support,Multi-family office; private wealth management; trust and estate advisory; tax advisory; alternatives,,https://www.thirdviewpw.com/,,,Westport,CT,United States,Frank McKiernan; Jerry Sneed; Zoltan Pongracz,Co-founders,,,,,https://www.thirdviewpw.com/; https://www.thirdviewpw.com/our-services; https://www.thirdviewpw.com/press/third-view-private-wealth-officially-launches-with-advisors-previously-managing-approximately-%241-billion-in-client-assets,Official site and official launch release state multi-family office service model,manual_research,primary,Newer firm so AUM/client-assets language should be dated and sourced if included
fo_015,Haven Private,multi_family_office,Employee-owned multi-family office and fiduciary advisory firm serving client families,Provides customized advice personalized service investment advisory and family financial planning,Multi-family office; fiduciary advisory; investment management; estate and tax-conscious planning,,https://www.havenprivate.com/,,,St. Louis,MO,United States,Marc Angle,Chief Executive Officer,,,,,https://www.havenprivate.com/; https://www.havenprivate.com/about-1,Official website describes multi-family office positioning and provides team/service context,manual_research,primary,Replaced PEAKHOUSE because its site passed live HTTP but did not return Apify crawl evidence
fo_016,PremjiInvest,single_family_office,Investment office for Azim Premji family capital and philanthropic ecosystem,Invests patient capital in public and private companies with long-term growth potential,Private equity; public equities; technology; consumer; healthcare,,https://www.premjiinvest.com/,,,Bengaluru,Karnataka,India,Azim Premji,Principal family,,,,,https://www.premjiinvest.com/; https://www.premjiinvest.com/purpose; https://www.premjiinvest.com/team,Official site purpose and team pages support investment-office identity and public family context,manual_research,primary,Public material supports investment office classification
fo_017,Wildcat Capital Management,single_family_office,Single-family office for David Bonderman focused on partnership-centric investments in leading companies,Invests flexible family office capital into growth companies and private market opportunities,Growth equity; private equity; consumer; services; healthcare,,https://www.wildcatcap.com/,,,New York,NY,United States,David Bonderman,Principal family,,,,,https://www.wildcatcap.com/; https://www.wildcatcap.com/legal-notices-and-website-terms-of-use; https://adviserinfo.sec.gov/firm/summary/162178,Official website and SEC IAPD summary replace prior directory-based validation,manual_research,primary,Official site language supports SFO identity but current domain differs from older public references
fo_018,AT Capital Group,single_family_office,Family office and investment platform associated with Arvind Tiku,Invests long-term capital across real assets private equity and operating platforms,Real estate; natural resources; private equity; hospitality,,https://atcapital.com.sg/,,,Singapore,,Singapore,Arvind Tiku,Founder,,,,,https://atcapital.com.sg/; https://atcapital.com.sg/about-us/; https://atcapital.com.sg/our-investments/,Official about and investment pages support family office and sector classification,manual_research,primary,Some sector detail is inferred from public platform descriptions
