priority,seed_entity,principal_or_family,candidate_type,geography,seed_source_basis,official_site_query,linkedin_query,mandate_query,contact_query,recent_signal_query,notes
1,Cat Trail Capital,Dekker family,single_family_office,United States,existing_validated_seed,"Cat Trail Capital official website family office","Cat Trail Capital LinkedIn company","Cat Trail Capital investment strategy portfolio","Cat Trail Capital contact team","Cat Trail Capital investment news 2025 2026","Already in local non-sample seed dataset; rerun actors for contact and recent signals"
2,Ralph Family Office,Ralph family,single_family_office,United Kingdom,existing_validated_seed,"Ralph Family Office official website","Ralph Family Office LinkedIn company","Ralph Family Office investment thesis sectors","Ralph Family Office contact","Ralph Family Office investment news 2025 2026","Already in local non-sample seed dataset"
3,Ohana Advisors,client families,multi_family_office,United States,existing_validated_seed,"Ohana Advisors official website family office","Ohana Advisors LinkedIn company","Ohana Advisors Form ADV family office services","Ohana Advisors contact team","Ohana Advisors news investment 2025 2026","MFO service provider; validate with Form ADV"
4,Longwall Family Office,client families,multi_family_office,United States,existing_validated_seed,"Longwall Family Office official website","Longwall Family Office LinkedIn company","Longwall Family Office investment management","Longwall Family Office contact","Longwall Family Office news 2025 2026","MFO service provider"
5,SJS Investment Services,client families,multi_family_office,United States,existing_validated_seed,"SJS Investment Services multi-family office official","SJS Investment Services LinkedIn company","SJS Investment Services multi-family office services","SJS Investment Services contact","SJS Investment Services news 2025 2026","Validate RIA status if applicable"
6,CM Wealth,client families,multi_family_office,United States,existing_validated_seed,"CM Wealth Advisors multi-family office official","CM Wealth Advisors LinkedIn company","CM Wealth Advisors investment strategy family office","CM Wealth Advisors contact team","CM Wealth Advisors news 2025 2026","Existing seed has AUM text source"
7,JFG Family Office,Johnson family,multi_family_office,United States,existing_validated_seed,"JFG Family Office official website","JFG Family Office LinkedIn company","JFG Family Office investment access family office","JFG Family Office contact team","JFG Family Office news 2025 2026","Validate current domain and CRS/ADV"
8,Lennertz & Co.,client families,multi_family_office,Germany,existing_validated_seed,"Lennertz & Co family office official website","Lennertz & Co LinkedIn company","Lennertz & Co investment sectors private equity venture real estate","Lennertz & Co contact team","Lennertz & Co investment news 2025 2026","International MFO"
9,Venitage,client families,multi_family_office,United States,existing_validated_seed,"Venitage family office official website","Venitage LinkedIn company","Venitage family office business consulting services","Venitage contact","Venitage news 2025 2026","Small boutique; may lack recent signals"
10,Boston Multi Family Office,client families,multi_family_office,Isle of Man,existing_validated_seed,"Boston Multi Family Office official website","Boston Multi Family Office LinkedIn company","Boston Multi Family Office services investment governance","Boston Multi Family Office contact","Boston Multi Family Office news 2025 2026","Validate Isle of Man jurisdiction"
11,SSA Swiss Advisors AG,client families,multi_family_office,Switzerland,existing_validated_seed,"SSA Swiss Advisors multi-family office official website","SSA Swiss Advisors LinkedIn company","SSA Swiss Advisors Form ADV multi-family office","SSA Swiss Advisors contact team","SSA Swiss Advisors news 2025 2026","Validate SEC registration and Swiss location"
12,Scott Capital Partners,client families,multi_family_office,United Kingdom,existing_validated_seed,"Scott Capital Partners family office official website","Scott Capital Partners LinkedIn company","Scott Capital Partners Form ADV multi-family office","Scott Capital Partners contact team","Scott Capital Partners news 2025 2026","Strong ADV language in local seed"
13,Third View Private Wealth,client families,multi_family_office,United States,existing_validated_seed,"Third View Private Wealth multi-family office official","Third View Private Wealth LinkedIn company","Third View Private Wealth family office services","Third View Private Wealth contact team","Third View Private Wealth launch news","Recent launch signal likely available"
14,Haven Private,client families,multi_family_office,United States,existing_validated_seed,"Haven Private multi-family office official website","Haven Private LinkedIn company","Haven Private family office investment advisory","Haven Private contact team","Haven Private news 2025 2026","Validate employee-owned fiduciary advisory status"
15,PremjiInvest,Azim Premji,single_family_office,India,existing_validated_seed,"PremjiInvest official website family office","PremjiInvest LinkedIn company","PremjiInvest investment strategy sectors","PremjiInvest contact team","PremjiInvest investment news 2025 2026","High-value SFO investment office"
16,Wildcat Capital Management,David Bonderman,single_family_office,United States,existing_validated_seed,"Wildcat Capital Management official website family office","Wildcat Capital Management LinkedIn company","Wildcat Capital Management investment strategy","Wildcat Capital Management contact team","Wildcat Capital Management 13F investment 2025 2026","Use IAPD and SEC filings"
17,AT Capital Group,Arvind Tiku,single_family_office,Singapore,existing_validated_seed,"AT Capital Group family office official website","AT Capital Group LinkedIn company","AT Capital Group investments real estate private equity","AT Capital Group contact team","AT Capital Group investment news 2025 2026","Singapore family office platform"
18,East Rock Capital,client families,multi_family_office,United States,existing_validated_seed,"East Rock Capital official website families","East Rock Capital LinkedIn company","East Rock Capital private markets investing families","East Rock Capital contact team","East Rock Capital news investment 2025 2026","Family-client investment firm"
19,Verlinvest,Spoelberch family,family_backed_investment_firm,Belgium,existing_validated_seed,"Verlinvest official website family investment company","Verlinvest LinkedIn company","Verlinvest investment thesis sectors","Verlinvest contact team","Verlinvest portfolio investment 2025 2026","Family-backed investment company"
20,Okabena Company,Dayton family,single_family_office,United States,existing_validated_seed,"Okabena Company family office official website","Okabena Company LinkedIn company","Okabena Company investment management family office","Okabena Company contact team","Okabena Company news 2025 2026","Validate current public status"
21,Yamauchi No. 10 Family Office,Yamauchi family,single_family_office,Japan,existing_validated_seed,"Yamauchi No. 10 Family Office official website","Yamauchi No. 10 Family Office LinkedIn company","Yamauchi No. 10 Family Office investment thesis","Yamauchi No. 10 Family Office contact team","Yamauchi No. 10 Family Office investment news 2025 2026","Nintendo founder-family office signal"
22,Indie Asset Partners,client families,multi_family_office,United States,existing_validated_seed,"Indie Asset Partners family office official","Indie Asset Partners LinkedIn company","Indie Asset Partners investment advisory family office","Indie Asset Partners contact team","Indie Asset Partners news 2025 2026","Validate Form ADV"
23,Marinya Capital,Lowy family,single_family_office,Australia,existing_validated_seed,"Marinya Capital family office official","Marinya Capital LinkedIn company","Marinya Capital investment office portfolio","Marinya Capital contact","Marinya Capital investment news 2025 2026","Australian SFO; may be low public contact detail"
24,Reimann Investors,Reimann family,family_backed_investment_firm,Germany,existing_validated_seed,"Reimann Investors official website family office","Reimann Investors LinkedIn company","Reimann Investors investment strategy sectors","Reimann Investors contact team","Reimann Investors investment news 2025 2026","Different from JAB Holding; validate relationship"
25,Private Wealth Asset Management,client families,multi_family_office,United States,existing_validated_seed,"Private Wealth Asset Management family office official","Private Wealth Asset Management LinkedIn company","Private Wealth Asset Management family office services","Private Wealth Asset Management contact team","Private Wealth Asset Management news 2025 2026","MFO/RIA validation likely needed"
26,Bessemer Trust,Phipps family origin,multi_family_office,United States,existing_validated_seed,"Bessemer Trust family office official website","Bessemer Trust LinkedIn company","Bessemer Trust family office investment services","Bessemer Trust contact team","Bessemer Trust news 2025 2026","Large MFO; original family origin"
27,Pathstone,client families,multi_family_office,United States,existing_validated_seed,"Pathstone family office official website","Pathstone LinkedIn company","Pathstone family office services investment","Pathstone contact team","Pathstone acquisition news 2025 2026","Large MFO; validate current M&A"
28,Cresset,client families,multi_family_office,United States,existing_validated_seed,"Cresset family office official website","Cresset LinkedIn company","Cresset family office private investment services","Cresset contact team","Cresset news 2025 2026","Large MFO/private wealth platform"
29,AlTi Tiedemann Global,client families,multi_family_office,Global,existing_validated_seed,"AlTi Tiedemann Global family office official","AlTi Tiedemann Global LinkedIn company","AlTi Tiedemann Global investment strategy family office","AlTi Tiedemann Global contact team","AlTi Tiedemann Global news 2025 2026","Public/large wealth platform; classify carefully"
30,WE Family Offices,client families,multi_family_office,United States,existing_validated_seed,"WE Family Offices official website","WE Family Offices LinkedIn company","WE Family Offices investment advisory services","WE Family Offices contact team","WE Family Offices news 2025 2026","Do not confuse with Walton Enterprises"
31,Stonehage Fleming,client families,multi_family_office,Global,existing_validated_seed,"Stonehage Fleming family office official website","Stonehage Fleming LinkedIn company","Stonehage Fleming investment management family office","Stonehage Fleming contact team","Stonehage Fleming news 2025 2026","Global MFO"
32,Omnia Family Wealth,client families,multi_family_office,United States,existing_validated_seed,"Omnia Family Wealth official website","Omnia Family Wealth LinkedIn company","Omnia Family Wealth investment family office","Omnia Family Wealth contact team","Omnia Family Wealth news 2025 2026","Validate RIA"
33,Ballentine Partners,client families,multi_family_office,United States,existing_validated_seed,"Ballentine Partners family office official","Ballentine Partners LinkedIn company","Ballentine Partners family office services investment","Ballentine Partners contact team","Ballentine Partners news 2025 2026","MFO"
34,TwinFocus,client families,multi_family_office,United States,existing_validated_seed,"TwinFocus family office official website","TwinFocus LinkedIn company","TwinFocus investment management family office","TwinFocus contact team","TwinFocus news 2025 2026","MFO"
35,Laird Norton Wetherby,client families,multi_family_office,United States,existing_validated_seed,"Laird Norton Wetherby family office official","Laird Norton Wetherby LinkedIn company","Laird Norton Wetherby family office services","Laird Norton Wetherby contact team","Laird Norton Wetherby news 2025 2026","MFO/private wealth"
36,Aspiriant,client families,multi_family_office,United States,existing_validated_seed,"Aspiriant family office official website","Aspiriant LinkedIn company","Aspiriant family office investment services","Aspiriant contact team","Aspiriant news 2025 2026","MFO"
37,Homrich Berg,client families,multi_family_office,United States,existing_validated_seed,"Homrich Berg family office official website","Homrich Berg LinkedIn company","Homrich Berg family office services investment","Homrich Berg contact team","Homrich Berg news 2025 2026","MFO/private wealth"
38,Tolleson Wealth Management,Tolleson family origin,multi_family_office,United States,existing_validated_seed,"Tolleson Wealth Management family office official","Tolleson Wealth Management LinkedIn company","Tolleson family office investment services","Tolleson Wealth Management contact team","Tolleson Wealth Management news 2025 2026","Family-origin MFO"
39,Greycourt,client families,multi_family_office,United States,existing_validated_seed,"Greycourt family office official website","Greycourt LinkedIn company","Greycourt investment advisory family office","Greycourt contact team","Greycourt news 2025 2026","MFO"
40,Matter Family Office,client families,multi_family_office,United States,existing_validated_seed,"Matter Family Office official website","Matter Family Office LinkedIn company","Matter Family Office investment services","Matter Family Office contact team","Matter Family Office news 2025 2026","MFO"
41,Fiduciary Trust International,client families,multi_family_office,United States,existing_validated_seed,"Fiduciary Trust International family office official","Fiduciary Trust International LinkedIn company","Fiduciary Trust International family office services","Fiduciary Trust International contact team","Fiduciary Trust International news 2025 2026","MFO/private wealth"
42,Cerity Partners,client families,multi_family_office,United States,existing_validated_seed,"Cerity Partners family office official website","Cerity Partners LinkedIn company","Cerity Partners family office investment services","Cerity Partners contact team","Cerity Partners news 2025 2026","MFO/private wealth"
43,Whittier Trust,Whittier family origin,multi_family_office,United States,existing_validated_seed,"Whittier Trust family office official website","Whittier Trust LinkedIn company","Whittier Trust family office investment services","Whittier Trust contact team","Whittier Trust news 2025 2026","Family-origin MFO"
44,Silvercrest Asset Management,client families,multi_family_office,United States,existing_validated_seed,"Silvercrest Asset Management family office official","Silvercrest Asset Management LinkedIn company","Silvercrest family office investment advisory","Silvercrest Asset Management contact team","Silvercrest Asset Management news 2025 2026","Public RIA; classify carefully"
45,Wren Investment Office,client families,multi_family_office,United Kingdom,existing_validated_seed,"Wren Investment Office official website family office","Wren Investment Office LinkedIn company","Wren Investment Office investment approach families","Wren Investment Office contact team","Wren Investment Office news 2025 2026","UK investment office"
46,Bayshore Global Management,Sergey Brin,single_family_office,United States,top_family_office_sources,"Bayshore Global Management official website family office","Bayshore Global Management LinkedIn company","Bayshore Global Management investments","Bayshore Global Management contact address","Bayshore Global Management investment news 2025 2026","Top-list seed; validate official domain carefully"
47,Mousse Partners,Wertheimer family,single_family_office,United States,top_family_office_sources,"Mousse Partners official website family office","Mousse Partners LinkedIn company","Mousse Partners investment strategy portfolio","Mousse Partners contact team","Mousse Partners investment news 2025 2026","Top-list seed"
48,Ballmer Group,Steve Ballmer,family_foundation_investment_platform,United States,top_family_office_sources,"Ballmer Group official website investment philanthropy","Ballmer Group LinkedIn company","Ballmer Group investment thesis sectors","Ballmer Group contact team","Ballmer Group news investment 2025 2026","Validate foundation/philanthropy vs FO classification"
49,Waycrosse,Cargill MacMillan family,single_family_office,United States,top_family_office_sources,"Waycrosse official website family office","Waycrosse LinkedIn company","Waycrosse investment office portfolio","Waycrosse contact address","Waycrosse investment news 2025 2026","Top-list seed"
50,Fedesa,Bettencourt Meyers family,single_family_office,Monaco,top_family_office_sources,"Fedesa family office official website","Fedesa LinkedIn company","Fedesa investment office Bettencourt Meyers","Fedesa contact Monaco","Fedesa investment news 2025 2026","Low-publicity SFO; likely needs secondary corroboration"
51,The Woodbridge Company,Thomson family,family_holding_company,Canada,top_family_office_sources,"The Woodbridge Company official website Thomson family","The Woodbridge Company LinkedIn company","The Woodbridge Company investment holdings","The Woodbridge Company contact address","The Woodbridge Company news investment 2025 2026","Family holding company"
52,Pontegadea Inversiones,Amancio Ortega,single_family_office,Spain,top_family_office_sources,"Pontegadea Inversiones official website family office","Pontegadea Inversiones LinkedIn company","Pontegadea Inversiones real estate investments","Pontegadea Inversiones contact address","Pontegadea Inversiones investment news 2025 2026","Top-list seed; Spanish sources may be needed"
53,Dubai Holding,Maktoum family,family_holding_company,United Arab Emirates,top_family_office_sources,"Dubai Holding official website investment company","Dubai Holding LinkedIn company","Dubai Holding investment sectors portfolio","Dubai Holding contact address","Dubai Holding investment news 2025 2026","Not classic FO; classify as family/state-linked holding company if included"
54,DFO Management,Michael Dell,single_family_office,United States,top_family_office_sources,"DFO Management MSD Capital family office official","DFO Management LinkedIn company","DFO Management investment strategy Michael Dell","DFO Management contact Form ADV","DFO Management 13F investment 2025 2026","Former MSD Capital context; validate current name"
55,Athos KG,Struengmann family,single_family_office,Germany,top_family_office_sources,"Athos KG family office official website","Athos KG LinkedIn company","Athos KG investment holdings Struengmann","Athos KG contact Munich","Athos KG investment news 2025 2026","Top-list seed"
56,Soros Fund Management,Soros family,single_family_office,United States,top_family_office_sources,"Soros Fund Management family office official website","Soros Fund Management LinkedIn company","Soros Fund Management investment strategy","Soros Fund Management contact Form ADV","Soros Fund Management 13F investment 2025 2026","Often described as family office; validate SEC/IAPD"
57,KIRKBI A/S,Kirk Kristiansen family,family_holding_company,Denmark,top_family_office_sources,"KIRKBI official website Kirk Kristiansen family","KIRKBI LinkedIn company","KIRKBI investment strategy holdings","KIRKBI contact","KIRKBI investment news 2025 2026","Official family holding company"
58,Euclidean Capital,James Simons family,single_family_office,United States,top_family_office_sources,"Euclidean Capital official website family office","Euclidean Capital LinkedIn company","Euclidean Capital investment strategy","Euclidean Capital contact Form ADV","Euclidean Capital 13F investment 2025 2026","Validate via SEC/IAPD if no official site"
59,Hartono Family Office,Hartono family,single_family_office,Asia,top_family_office_sources,"Hartono Family Office official website","Hartono Family Office LinkedIn company","Hartono Family Office investment portfolio","Hartono Family Office contact","Hartono Family Office investment news 2025 2026","May require Indonesian sources"
60,Fingerboard Family Office,Fox or related family,single_family_office,United States,top_family_office_sources,"Fingerboard Family Office official website","Fingerboard Family Office LinkedIn company","Fingerboard Family Office investment strategy","Fingerboard Family Office contact","Fingerboard Family Office investment news 2025 2026","Top-list seed; validate identity"
61,Crosby Advisors,Johnson family or Fidelity-linked,single_family_office,United States,top_family_office_sources,"Crosby Advisors family office official website","Crosby Advisors LinkedIn company","Crosby Advisors investment office","Crosby Advisors contact address","Crosby Advisors investment news 2025 2026","Low-publicity; validate relationship"
62,The Grosvenor Estate,Grosvenor family,family_holding_company,United Kingdom,top_family_office_sources,"The Grosvenor Estate official website family office","The Grosvenor Estate LinkedIn company","Grosvenor Estate investment portfolio","The Grosvenor Estate contact","Grosvenor Estate news investment 2025 2026","Family estate and holding platform"
63,Builders Vision,Lukas Walton,single_family_office,United States,top_family_office_sources,"Builders Vision official website family office","Builders Vision LinkedIn company","Builders Vision investment thesis sectors","Builders Vision contact team","Builders Vision investment news 2025 2026","Same Walton family but different entity than sample foundation; use only if non-overlap accepted"
64,Edizione,Benetton family,family_holding_company,Italy,top_family_office_sources,"Edizione official website Benetton family","Edizione LinkedIn company","Edizione investment portfolio sectors","Edizione contact","Edizione investment news 2025 2026","Family holding company"
65,Exor N.V.,Agnelli family,family_holding_company,Netherlands,top_family_office_sources,"Exor official website Agnelli family investment company","Exor LinkedIn company","Exor investment portfolio sectors","Exor contact","Exor investment news 2025 2026","Public family-controlled holding company"
66,Ferd,Andresen family,family_holding_company,Norway,top_family_office_sources,"Ferd official website Andresen family","Ferd LinkedIn company","Ferd investment areas portfolio","Ferd contact","Ferd investment news 2025 2026","Family-owned investment company"
67,Wittington Investments,Weston family,family_holding_company,Canada,top_family_office_sources,"Wittington Investments official website Weston family","Wittington Investments LinkedIn company","Wittington Investments holdings portfolio","Wittington Investments contact","Wittington Investments news 2025 2026","Family holding company"
68,JAB Holding Company,Reimann family,family_holding_company,Luxembourg,top_family_office_sources,"JAB Holding Company official website Reimann family","JAB Holding Company LinkedIn company","JAB Holding investment strategy portfolio","JAB Holding contact","JAB Holding acquisition investment news 2025 2026","Top family-backed holding company"
