record_id,family_office_name,family_office_type,description,investment_thesis,investing_sectors,aum_text,website_url,corporate_linkedin_url,street_address,city,state_region,country,principal_name,principal_title,principal_linkedin_url,primary_email,primary_phone,recent_activity,source_urls,source_notes,extraction_method,evidence_quality,uncertainty_notes,source_count,validation_score,confidence,validation_status,validation_notes,website_ok,website_status_code,website_final_url,sources_ok,human_audit_status,auto_prescreen_flag,auto_prescreen_reason,primary_email_evidence_url,primary_email_confidence,primary_phone_evidence_url,primary_phone_confidence,corporate_linkedin_evidence_url,corporate_linkedin_confidence,data_validation_period,family_office_domain,url_quality,primary_email_validation_code,primary_email_code_explanation,primary_email_quality_assessment,linkedin_employee_count,linkedin_follower_count,linkedin_specialties,linkedin_company_size_band,linkedin_industry,linkedin_founded_year,linkedin_headquarters_full,linkedin_company_evidence_url,linkedin_company_confidence,twitter_url,instagram_url,facebook_url,youtube_url,tiktok_url,social_media_evidence_url,social_media_confidence,google_places_phone,google_places_reviews_count,google_places_rating,google_places_category,google_maps_url,google_places_evidence_url,google_places_confidence,primary_phone_corroborated_by_places,sec_registered,sec_crd_number,sec_file_number,sec_registration_status,sec_firm_name_iapd,sec_firm_other_names,sec_branches_count,form_adv_brochure_url,sec_summary_url,sec_address_city,sec_address_state,sec_address_country,sec_evidence_url,sec_confidence,contact_first_name,contact_last_name,contact_full_name,contact_location,contact_secondary_email,secondary_email_validation_code,email_code_explanation_secondary,email_quality_assessment_secondary,contact_secondary_phone,data_completion_score_text,data_completion_score_visual,street_address_evidence_url,street_address_confidence,principal_1_name,principal_1_role,principal_1_source_url,principal_1_confidence,principal_2_name,principal_2_role,principal_2_source_url,principal_2_confidence,principal_3_name,principal_3_role,principal_3_source_url,principal_3_confidence,recent_activity_date,recent_activity_outlet,recent_activity_url,recent_activity_type,recent_activity_confidence,principal_1_linkedin_url,principal_1_linkedin_confidence,principal_2_linkedin_url,principal_2_linkedin_confidence,principal_3_linkedin_url,principal_3_linkedin_confidence,recent_activity_age_days,recent_activity_recency_label,primary_email_smtp_verified,primary_phone_conflict_with_places,primary_phone_canonical_source,sec_aum_usd,sec_fee_structure,sec_listed_officers,sec_business_address,sec_form_adv_parse_status,sec_form_adv_evidence_path,sec_near_match_review_status,sec_near_match_notes,source_content_review_status,source_content_review_notes
fo_001,Cat Trail Capital,single_family_office,Single-family office serving the Dekker family,Manages Dekker family capital through public securities fund managers real assets and select private companies,Public securities; fund managers; real assets; private companies,,https://www.cattrail.com/,https://www.linkedin.com/company/cattrail-capital-llc,,New York,NY,United States,Dekker family,Principal family,,admin@cattrail.com,,,"[""https://www.cattrail.com/"", ""https://www.cattrail.com/#About"", ""https://www.cattrail.com/#Team""]",Official website explicitly says single-family office serving the Dekker family and describes investment management,manual_research,primary,High-confidence SFO because classification comes from the entity website not a directory; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot,3,94,high,accepted,passed configured validation checks,True,200,https://www.cattrail.com/,3,pass,looks_clean,,https://www.cattrail.com/,corporate_public_listed,,,https://www.linkedin.com/company/cattrail-capital-llc,linkedin_scraped_match,2026-05,cattrail.com,Highest,mx_ok_source_domain_match,Syntax and MX passed; email domain matches scraped official website domain. This is not SMTP inbox proof.,good_public_domain_mx,4,63,Investments; Private Placements; Private Equity; Philanthropy,2-10 employees,Investment Management,2004,,https://www.linkedin.com/company/cattrail-capital-llc,linkedin_company_page,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,Dekker family,"New York, NY, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,22,██████████████████████░░░░░░░░░,,,David Dekker,Managing Partner,https://www.cattrail.com/#Team,official_team_page_manual_review,Russell Dekker,Partner,https://www.cattrail.com/#Team,official_team_page_manual_review,Andrew Budinoff,Director of Portfolio Management and Trading,https://www.cattrail.com/#Team,official_team_page_manual_review,,,,none_found,no_qualifying_public_signal,,,,,,,,,False,,,,,,,no_form_adv_url,,,,not_flagged,
fo_002,Ralph Family Office,single_family_office,UK private investment company operating as a dedicated single-family office,Invests long-term family capital across property operating businesses and private investments,Healthcare; artificial intelligence; UK real estate; aviation; food and beverage,,https://www.ralphfamilyoffice.com/,,,London,,United Kingdom,Ralph family,Principal family,,,,,"[""https://www.ralphfamilyoffice.com/"", ""https://find-and-update.company-information.service.gov.uk/company/11031775""]",Official website states it is a UK-registered private investment company operating as a dedicated single-family office and Companies House validates the legal entity,manual_research,primary,Single-page official site is supported by UK company registry record; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot,2,88,high,accepted,passed configured validation checks,True,200,https://www.ralphfamilyoffice.com/,2,pass,looks_clean,,,,,,,,2026-05,ralphfamilyoffice.com,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,Ralph family,"London, United Kingdom",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,16,████████████████░░░░░░░░░░░░░░░,,,,,,,,,,,,,,,,,,none_found,no_qualifying_public_signal,,,,,,,,,,,,,,,,no_form_adv_url,,,,not_flagged,
fo_003,Ohana Advisors,multi_family_office,Boutique SEC-registered adviser providing comprehensive multi-family office and financial services to ultra-high-net-worth clientele,Functions as each client private family office with tailored investment and family wealth services,Family office services; investment advisory; financial services; UHNW planning,,https://www.ohanaadvisors.com/,https://www.linkedin.com/company/ohana-advisors-llc,101 Lucas Valley Rd UNIT 202,California,,United States,,,,investments@ohanaadvisors.com,415-226-4170,,"[""https://www.ohanaadvisors.com/"", ""https://www.ohanaadvisors.com/disclosures-form-adv""]",Official disclosures page explicitly states multi-family office services and SEC registered investment adviser status,manual_research,primary,Regulatory details should be expanded with exact IAPD CRD after Form ADV extraction; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot,2,82,high,accepted,passed configured validation checks,True,200,https://www.ohanaadvisors.com/,2,pass,looks_clean,,https://www.ohanaadvisors.com/,corporate_public_listed,https://www.ohanaadvisors.com/,corporate_public_listed,https://www.linkedin.com/company/ohana-advisors-llc,linkedin_scraped_match,2026-05,ohanaadvisors.com,Highest,mx_ok_source_domain_match,Syntax and MX passed; email domain matches scraped official website domain. This is not SMTP inbox proof.,good_public_domain_mx,14,198,,2-10 employees,Financial Services,,"101 Lucas Valley Rd, San Rafael, California, US, 94903",https://www.linkedin.com/company/ohana-advisors-llc,linkedin_company_page,,,,,,,,(415) 226-4170,,,Investment service,https://www.google.com/maps/search/?api=1&query=OHANA%20ADVISORS&query_place_id=ChIJde2t_4SXhYARZwKntoIpvtY,https://www.google.com/maps/search/?api=1&query=OHANA%20ADVISORS&query_place_id=ChIJde2t_4SXhYARZwKntoIpvtY,google_places_domain_match,True,True,158515,801-75431,ACTIVE,OHANA ADVISORS,"OHANA ADVISORS; OHANA ADVISORS, LLC; OHANA ADVISORS MANAGEMENT, LLC",1,https://reports.adviserinfo.sec.gov/reports/ADV/158515/PDF/158515.pdf,https://adviserinfo.sec.gov/firm/summary/158515,SAN RAFAEL,CA,United States,https://adviserinfo.sec.gov/firm/summary/158515,sec_authoritative,,,,"California, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,21,█████████████████████░░░░░░░░░░,https://www.google.com/maps/search/?api=1&query=OHANA%20ADVISORS&query_place_id=ChIJde2t_4SXhYARZwKntoIpvtY,google_places_domain_match,,,,,,,,,,,,,,,,none_found,no_qualifying_public_signal,,,,,,,,,False,False,official_or_scraped_contact_source_corroborated_by_places,2778546190,fixed_fees; hourly_fees; performance_based_fees,,"101 LUCAS VALLEY, SUITE 202, SAN RAFAEL, CA, 94903, United States",parsed_with_aum,https://reports.adviserinfo.sec.gov/reports/ADV/158515/PDF/158515.pdf,,,not_flagged,
fo_004,Longwall Family Office,multi_family_office,Family office advisory firm providing portfolio management and broader family office services,Provides investment management plus estate charitable insurance tax and education coordination,Portfolio management; estate planning coordination; charitable giving; tax coordination,,https://www.longwallfamilyoffice.com/,https://www.linkedin.com/company/longwall-family-office,180 Imperial Ave,McLean,VA,United States,,,,,(214) 683-6381,,"[""https://www.longwallfamilyoffice.com/"", ""https://www.longwallfamilyoffice.com/what-we-do"", ""https://www.longwallfamilyoffice.com/disclosures""]",Official site describes what a family office is and states Longwall offers these services,manual_research,primary,Service-provider MFO not a single-family office; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot,3,88,high,accepted,passed configured validation checks,True,200,https://www.longwallfamilyoffice.com/,3,pass,look_carefully,H8_service_provider_mfo,,,https://www.longwallfamilyoffice.com/,corporate_public_listed,https://www.linkedin.com/company/longwall-family-office,linkedin_scraped_match,2026-05,longwallfamilyoffice.com,Highest,,,,5,273,,2-10 employees,Investment Management,2021,"180 Imperial Ave, Westport, Connecticut, US, 06880",https://www.linkedin.com/company/longwall-family-office,linkedin_company_page,,,,,,,,,,,,,,,,True,324336,801-127421,ACTIVE,LONGWALL FAMILY OFFICE,"DKRA HOLDINGS, LLC; LONGWALL INVESTMENT PARTNERS, LLC; LONGWALL INVESTMENT PARTNERS; LONGWALL FAMILY OFFICE",1,https://reports.adviserinfo.sec.gov/reports/ADV/324336/PDF/324336.pdf,https://adviserinfo.sec.gov/firm/summary/324336,WESTPORT,CT,United States,https://adviserinfo.sec.gov/firm/summary/324336,sec_authoritative,,,,"McLean, VA, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,18,██████████████████░░░░░░░░░░░░░,https://www.linkedin.com/company/longwall-family-office,linkedin_company_page,,,,,,,,,,,,,,,,none_found,no_qualifying_public_signal,,,,,,,,,,,official_or_scraped_contact_source,428187059,fixed_fees; hourly_fees; performance_based_fees,,"8  WRIGHT ST, SUITE 107, WESTPORT, CT, 06880, United States",parsed_with_aum,https://reports.adviserinfo.sec.gov/reports/ADV/324336/PDF/324336.pdf,,,not_flagged,
fo_005,SJS Investment Services,multi_family_office,Investment adviser with a dedicated multi-family office service for complex multigenerational families,Acts as a centralized command center coordinating estate tax accounting legal and investment strategy,Multi-family office; estate planning; tax coordination; investment management; reporting,,https://www.sjsinvest.com/,https://www.linkedin.com/company/sjs-investment-services,6711 Monroe St Bldg 4,Sylvania,OH,United States,,,,,+18004344406,,"[""https://www.sjsinvest.com/"", ""https://www.sjsinvest.com/multi-family-office""]",Official multi-family office page describes services threshold and family wealth use cases,manual_research,primary,Accepted as MFO service provider based on explicit official page language; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot Primary phone conflicts with domain-matched Google Places; website/contact-source value retained as canonical,2,82,high,accepted,passed configured validation checks,True,200,https://www.sjsinvest.com/,2,pass,look_carefully,H8_service_provider_mfo,,,https://www.sjsinvest.com/,corporate_public_listed,https://www.linkedin.com/company/sjs-investment-services,linkedin_scraped_match,2026-05,sjsinvest.com,Highest,,,,26,1789,Financial services; Financial planning; Investment Advisory,11-50 employees,Investment Management,1995,"6711 Monroe Street, Bldg IV, Suite A, Sylvania, Ohio, US, 43560",https://www.linkedin.com/company/sjs-investment-services,linkedin_company_page,,,https://www.facebook.com/SJSInvestmentServices,,,https://www.sjsinvest.com/,linked_from_official_site,(419) 885-2626,4,5.0,Investment service,https://www.google.com/maps/search/?api=1&query=SJS%20Investment%20Services&query_place_id=ChIJlfWhPbF9PIgR0y-vmyIszuo,https://www.google.com/maps/search/?api=1&query=SJS%20Investment%20Services&query_place_id=ChIJlfWhPbF9PIgR0y-vmyIszuo,google_places_domain_match,False,True,107219,801-49585,ACTIVE,SJS INVESTMENT SERVICES,SJS INVESTMENT CONSULTING INC; SJS INVESTMENT SERVICES,12,https://reports.adviserinfo.sec.gov/reports/ADV/107219/PDF/107219.pdf,https://adviserinfo.sec.gov/firm/summary/107219,SYLVANIA,OH,United States,https://adviserinfo.sec.gov/firm/summary/107219,sec_authoritative,,,,"Sylvania, OH, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,18,██████████████████░░░░░░░░░░░░░,https://www.google.com/maps/search/?api=1&query=SJS%20Investment%20Services&query_place_id=ChIJlfWhPbF9PIgR0y-vmyIszuo,google_places_domain_match,,,,,,,,,,,,,,,,none_found,no_qualifying_public_signal,,,,,,,,,,True,official_or_scraped_contact_source_preferred_over_places,2937122207,fixed_fees; hourly_fees; performance_based_fees,,"6711 MONROE ST., BUILDING IV, SUITE A, SYLVANIA, OH, 43560, United States",parsed_with_aum,https://reports.adviserinfo.sec.gov/reports/ADV/107219/PDF/107219.pdf,,,not_flagged,
fo_006,CM Wealth,multi_family_office,Multi-family office that began as a single-family office and now serves more than 30 families,Provides investment wealth management philanthropic and lifestyle services for multigenerational families,Investment management; wealth management; philanthropy; family office services,Official site states more than 2000000000 in assets,https://www.cmwealthadvisors.com/,,2000 Auburn Dr #400,Beachwood,OH,United States,,,,hello@cmwealthadvisors.com,,"CM Wealth Appoints Paul Bodnar As CEO And Managing Member To Lead Next Phase Of Growth - Pulse 2.0 (Pulse 2.0, 2026-04-12) — https://news.google.com/rss/articles/CBMiqgFBVV95cUxPQVRCR0d1dVRXNmVUVlVJUk44aHpyc3ppV0NnVURhb25FMGVHa0hmRFZfcEsxaTNodlVhSkx1c3R4UUdXTlB0akR2eWxwRHg0N2NYYlo1dmVLaEtaTkRPbGNKdFpiNE1GTG9EOUs1a2xpYU1mUTBMckxMUkNzWm40aTMwMm9wVEpRVndGYWJMX0tGSlVPUDc0bjJ2Nng2eGl2eWVlQV9TOUxJUdIBrwFBVV95cUxQX29tWHNLLUJrbmlKel9JUnhYejd4M2l4eUR1ZDNRTGlDdmtVVF9tMThnVVFNUW81NXBtaGxWMDl3OFh0M2h3LWZyUloyQTZFcGR2a0dHdEtuc1lKVm1aZjVYajVFSVNITFlWeVhFNmZrRE1wZE8yS0RBODU1SXVsb1hMNzZhV3ZRcldiZFJrZmJRSDgxNUZ4cDZvb0VvQkVxMXpsclVIZTJKTmlBWnNZ?oc=5","[""https://www.cmwealthadvisors.com/"", ""https://www.cmwealthadvisors.com/services"", ""https://www.cmwealthadvisors.com/s/2026-03-24-Form-ADV-Part-2A-Final.pdf""]",Official site gives origin story as single-family office plus assets and service model,manual_research,primary,Strong MFO because the site discloses family count and AUM language,3,88,high,accepted,passed configured validation checks,True,200,https://www.cmwealthadvisors.com/,3,pass,looks_clean,,https://www.cmwealthadvisors.com/,corporate_public_listed,,,,,2026-05,cmwealthadvisors.com,Highest,mx_ok_source_domain_match,Syntax and MX passed; email domain matches scraped official website domain. This is not SMTP inbox proof.,good_public_domain_mx,,,,,,,,,,http://twitter.com/squarespace,http://instagram.com/squarespace,http://facebook.com/squarespace,http://youtube.com/squarespace,,https://www.cmwealthadvisors.com/,linked_from_official_site,(216) 831-9667,2,5.0,Financial planner,https://www.google.com/maps/search/?api=1&query=CM%20Wealth%20Advisors&query_place_id=ChIJceWAEiIDMYgRpoaJ5KsqrKM,https://www.google.com/maps/search/?api=1&query=CM%20Wealth%20Advisors&query_place_id=ChIJceWAEiIDMYgRpoaJ5KsqrKM,google_places_domain_match,,True,119467,801-62376,ACTIVE,CM WEALTH ADVISORS LLC,CLANCO MANAGEMENT CORP.; CM WEALTH ADVISORS LLC; CM WEALTH ADVISORS INC.,2,https://reports.adviserinfo.sec.gov/reports/ADV/119467/PDF/119467.pdf,https://adviserinfo.sec.gov/firm/summary/119467,BEACHWOOD,OH,United States,https://adviserinfo.sec.gov/firm/summary/119467,sec_authoritative,,,,"Beachwood, OH, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,20,████████████████████░░░░░░░░░░░,https://www.google.com/maps/search/?api=1&query=CM%20Wealth%20Advisors&query_place_id=ChIJceWAEiIDMYgRpoaJ5KsqrKM,google_places_domain_match,,,,,,,,,,,,,2026-04-12,Pulse 2.0,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPQVRCR0d1dVRXNmVUVlVJUk44aHpyc3ppV0NnVURhb25FMGVHa0hmRFZfcEsxaTNodlVhSkx1c3R4UUdXTlB0akR2eWxwRHg0N2NYYlo1dmVLaEtaTkRPbGNKdFpiNE1GTG9EOUs1a2xpYU1mUTBMckxMUkNzWm40aTMwMm9wVEpRVndGYWJMX0tGSlVPUDc0bjJ2Nng2eGl2eWVlQV9TOUxJUdIBrwFBVV95cUxQX29tWHNLLUJrbmlKel9JUnhYejd4M2l4eUR1ZDNRTGlDdmtVVF9tMThnVVFNUW81NXBtaGxWMDl3OFh0M2h3LWZyUloyQTZFcGR2a0dHdEtuc1lKVm1aZjVYajVFSVNITFlWeVhFNmZrRE1wZE8yS0RBODU1SXVsb1hMNzZhV3ZRcldiZFJrZmJRSDgxNUZ4cDZvb0VvQkVxMXpsclVIZTJKTmlBWnNZ?oc=5,news,previously_promoted_news_signal,,,,,,,36.0,fresh,False,,,3597372487,fixed_fees; hourly_fees; performance_based_fees,,"2000 AUBURN DRIVE, SUITE 400, BEACHWOOD, OH, 44122-4327, United States",parsed_with_aum,https://reports.adviserinfo.sec.gov/reports/ADV/119467/PDF/119467.pdf,,,not_flagged,
fo_007,JFG Family Office,multi_family_office,Family office and wealth management firm that began as a private investment company for its founding family,Allows client families to access the founding family aligned investment platform and advisory services,Family office; wealth management; investment access; family governance,,https://jfgfamilyoffice.com/,,,Denver,CO,United States,Johnson family,Founder family,,,,"Denver’s JFG Family Office brings holistic wealth and philanthropy services to Dallas - The Business Journals (The Business Journals, 2025-12-17) — https://news.google.com/rss/articles/CBMiogFBVV95cUxORW02WHh2Q3NSd0RoUjhTSW5VMXExZGJVeG1IdTdxWldLUjhyQmZETEhpUExObmN3V0lLMXpmSkE5YmVJNVZRZ0RSems0MkJGYnRyTURQd3RCMnpRNmlrNHNod1cwclVPM1NlNHl1Z2ZSLUlJQTB2bGppMGplbEhVZTlGemdEcjRUc2F1ZzBJUmhpOTdzT0ZSWFVjOGxZS1JJcHc?oc=5","[""https://jfgfamilyoffice.com/"", ""https://jfgfamilyoffice.com/better-way"", ""https://jfgfamilyoffice.com/pdf/JFG-Family-Office-Form-CRS.pdf""]",Official site states single-family-office origin and current family office model,manual_research,primary,Former jfgwealth.net redirects to current jfgfamilyoffice.com brand,3,94,high,accepted,passed configured validation checks,True,200,https://jfgfamilyoffice.com/,3,pass,looks_clean,,,,,,,,2026-05,jfgfamilyoffice.com,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,125101,801-79223,ACTIVE,JFG FAMILY OFFICE,JFG; JOHNSON FINANCIAL GROUP LLC; JOHNSON FAMILY OFFICE; JFG FAMILY OFFICE,7,https://reports.adviserinfo.sec.gov/reports/ADV/125101/PDF/125101.pdf,https://adviserinfo.sec.gov/firm/summary/125101,DENVER,CO,United States,https://adviserinfo.sec.gov/firm/summary/125101,sec_authoritative,,,Johnson family,"Denver, CO, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,17,█████████████████░░░░░░░░░░░░░░,,,"Brandon C. Johnson, CFA","Principal, Chief Executive Officer","https://jfgfamilyoffice.com/bio/brandon-c-johnson,-cfa",official_team_page_manual_review,"Wendy M. Johnson, Esq.",General Counsel,"https://jfgfamilyoffice.com/bio/wendy-m-johnson,-esq",official_team_page_manual_review,Bert W. Williams,"Partner, Managing Director",https://jfgfamilyoffice.com/bio/bert-w-williams,official_team_page_manual_review,2025-12-17,The Business Journals,https://news.google.com/rss/articles/CBMiogFBVV95cUxORW02WHh2Q3NSd0RoUjhTSW5VMXExZGJVeG1IdTdxWldLUjhyQmZETEhpUExObmN3V0lLMXpmSkE5YmVJNVZRZ0RSems0MkJGYnRyTURQd3RCMnpRNmlrNHNod1cwclVPM1NlNHl1Z2ZSLUlJQTB2bGppMGplbEhVZTlGemdEcjRUc2F1ZzBJUmhpOTdzT0ZSWFVjOGxZS1JJcHc?oc=5,news,previously_promoted_news_signal,,,,,,,152.0,moderate,,,,4529119285,fixed_fees; hourly_fees; performance_based_fees,,"1144 FIFTEENTH STREET, SUITE 3950, DENVER, CO, 80202, United States",parsed_with_aum,https://reports.adviserinfo.sec.gov/reports/ADV/125101/PDF/125101.pdf,,,not_flagged,
fo_008,Lennertz & Co.,multi_family_office,Owner-managed family office focused on development and value growth of client family assets,Provides asset structuring asset development asset transition and entrepreneurial investing,Family office; private equity; venture capital; real estate; impact investing,,https://www.lennertz.com/en,,,Hamburg,,Germany,,,,info@lennertz.com,,,"[""https://www.lennertz.com/en"", ""https://www.lennertz.com/en#family-office""]",Official website describes owner-managed family office and family office services,manual_research,primary,Regulated German platform should be supplemented with BaFin registry in a later pass; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot,2,82,high,accepted,passed configured validation checks,True,200,https://www.lennertz.com/en,2,pass,looks_clean,,https://www.lennertz.com/en,corporate_public_listed,,,,,2026-05,lennertz.com,Highest,mx_ok_source_domain_match,Syntax and MX passed; email domain matches scraped official website domain. This is not SMTP inbox proof.,good_public_domain_mx,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,"Hamburg, Germany",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,18,██████████████████░░░░░░░░░░░░░,,,,,,,,,,,,,,,,,,none_found,no_qualifying_public_signal,,,,,,,,,False,,,,,,,no_form_adv_url,,,,not_flagged,
fo_009,Venitage,multi_family_office,Twin Cities multi-family office providing family office and business consulting services,Assists families with long-term life and financial goals while coordinating existing advisers,Family office services; business consulting; family governance; wealth coordination,,https://venitage.com/,,,Minneapolis,MN,United States,,,,,,,"[""https://venitage.com/"", ""https://venitage.com/lander""]",Official site describes Venitage as a Twin Cities-based multi-family office,manual_research,primary,"Small boutique profile with limited public investment detail; no qualifying 2025+ public signal found in the 2026-05-17 news snapshot. Accepted on 2026-05-18 after manual review: SEC/IAPD returned VENITAGE, LLC (CRD 295330). The old scraper row for venitage.com returned unrelated restaurant text, so that crawler output was rejected rather than used as support",2,82,high,accepted,passed configured validation checks,True,200,https://venitage.com/,2,pass,looks_clean,,,,,,,,2026-05,venitage.com,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,295330,,INACTIVE,"VENITAGE, LLC","VENITAGE, LLC",0,https://reports.adviserinfo.sec.gov/reports/ADV/295330/PDF/295330.pdf,https://adviserinfo.sec.gov/firm/summary/295330,EDEN PRAIRIE,MN,United States,https://adviserinfo.sec.gov/firm/summary/295330,sec_authoritative_manual_review,,,,"Minneapolis, MN, United States",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,15,███████████████░░░░░░░░░░░░░░░░,,,,,,,,,,,,,,,,,,none_found,no_qualifying_public_signal,,,,,,,,,,,,,fixed_fees; hourly_fees; performance_based_fees,,"EDEN PRAIRIE, MN, United States",parsed_no_reliable_aum_pattern,https://reports.adviserinfo.sec.gov/reports/ADV/295330/PDF/295330.pdf,accepted,"Accepted on 2026-05-18 after manual review: SEC/IAPD returned VENITAGE, LLC (CRD 295330). The old scraper row for venitage.com returned unrelated restaurant text, so that crawler output was rejected rather than used as support.",manual_reviewed_source_drift,Live homepage showed Coming Soon on 2026-05-18 and Apify returned unrelated restaurant text; the crawler output was rejected. SEC/IAPD CRD 295330 and search-indexed official content support retaining the record with this caveat.
fo_010,Boston Multi Family Office,multi_family_office,Multi-family office that began as a single-family office and serves family office clients globally,Supports family wealth governance asset management and decision making through dedicated relationship management,Family office; wealth governance; asset management; reporting; fiduciary services,,https://bostonmfo.com/,https://www.linkedin.com/company/boston-group-ltd,"2nd Floor, St Mary's Court, 20 Hill St",Douglas,,Isle of Man,,,,,,"Boston Multi Family Office appoints Head of Compliance, Jersey - channeleye.media (channeleye.media, 2026-02-23) — https://news.google.com/rss/articles/CBMikAFBVV95cUxOcEtST2JFMTU4N256bUcxUFlEWDNQNFdoLWxZY0pjRXI0T19LS1JIRUZCcFp3V2ZLMGhnTnNjUFBwNUprTkg2aWtabDJ2UVlUZWpNNEgyaldEcS1fRVJvSUFaZW5SckE2TnR6ZldZT3Z2UFFuNVpVSzZRMVFjLUhYU0ZRUXhwMnNybTlhaFBsUFo?oc=5","[""https://bostonmfo.com/"", ""https://bostonmfo.com/services/family-office/""]",Official family office service page states single-family-office origin and multi-family office model,manual_research,primary,Jurisdiction and regulatory details should be enriched from Isle of Man records later,2,82,high,accepted,passed configured validation checks,True,200,https://bostonmfo.com/,2,pass,looks_clean,,,,,,https://www.linkedin.com/company/boston-group-ltd,linkedin_scraped_match,2026-05,bostonmfo.com,Highest,,,,77,3945,Trustee Services; Corporate Services; Family Office; Director Services,51-200 employees,Financial Services,2002,"2nd Floor, St Mary's Court, Douglas, Isle of Man, IM, IM11EU",https://www.linkedin.com/company/boston-group-ltd,linkedin_company_page,,,,,,,,+44 1624 692930,1,1.0,Consultant,https://www.google.com/maps/search/?api=1&query=Boston%20Multi%20Family%20Office%20(Isle%20of%20Man)&query_place_id=ChIJKxBDlRaFY0gRR9IAhK_ME3M,https://www.google.com/maps/search/?api=1&query=Boston%20Multi%20Family%20Office%20(Isle%20of%20Man)&query_place_id=ChIJKxBDlRaFY0gRR9IAhK_ME3M,google_places_domain_match,,True,107141,801-52883,ACTIVE,BOSTON FAMILY OFFICE LLC,BOSTON FAMILY OFFICE LLC,5,https://reports.adviserinfo.sec.gov/reports/ADV/107141/PDF/107141.pdf,https://adviserinfo.sec.gov/firm/summary/107141,BOSTON,MA,United States,https://adviserinfo.sec.gov/firm/summary/107141,sec_authoritative,,,,"Douglas, Isle of Man",,no_secondary_evidence,No secondary channel surfaced in the evidence layer; left null rather than fabricated.,no_secondary_evidence,,16,████████████████░░░░░░░░░░░░░░░,https://www.google.com/maps/search/?api=1&query=Boston%20Multi%20Family%20Office%20(Isle%20of%20Man)&query_place_id=ChIJKxBDlRaFY0gRR9IAhK_ME3M,google_places_domain_match,,,,,,,,,,,,,2026-02-23,channeleye.media,https://news.google.com/rss/articles/CBMikAFBVV95cUxOcEtST2JFMTU4N256bUcxUFlEWDNQNFdoLWxZY0pjRXI0T19LS1JIRUZCcFp3V2ZLMGhnTnNjUFBwNUprTkg2aWtabDJ2UVlUZWpNNEgyaldEcS1fRVJvSUFaZW5SckE2TnR6ZldZT3Z2UFFuNVpVSzZRMVFjLUhYU0ZRUXhwMnNybTlhaFBsUFo?oc=5,news,previously_promoted_news_signal,,,,,,,84.0,fresh,,,,2019164947,fixed_fees; hourly_fees; performance_based_fees,,"20 CUSTOM HOUSE STREET, SUITE 700, BOSTON, MA, 02110, United States",parsed_with_aum,https://reports.adviserinfo.sec.gov/reports/ADV/107141/PDF/107141.pdf,,,not_flagged,
