priority,actor_id,stage,purpose,dataset_columns_filled,truth_role,run_condition,source_url
1,apify/google-search-scraper,discovery,"Find candidate entities official websites LinkedIn pages regulatory pages and news sources","family_office_name; website_url; corporate_linkedin_url; source_urls; recent_activity; validation_notes",discovery_only,"Run for every seed and every rejected-row replacement search",https://apify.com/apify/google-search-scraper
2,apify/website-content-crawler,official_site_extraction,"Crawl official websites and capture clean text or Markdown snapshots","description; investment_thesis; investing_sectors; aum_text; address; team; source_snapshot_date; source_urls",evidence_capture,"Run only on confirmed official domains and exact evidence URLs",https://apify.com/apify/website-content-crawler
3,apify/cheerio-scraper,structured_extraction,"Fast extraction from static About Team Investment Portfolio and Contact pages","description; investment_thesis; investing_sectors; address; team; email; phone",field_extraction,"Run after official URLs are known and pages are static",https://apify.com/apify/cheerio-scraper
4,apify/playwright-scraper,structured_extraction,"Browser-based extraction for JavaScript-rendered sites where Cheerio misses content","description; investment_thesis; investing_sectors; address; team; email; phone",field_extraction,"Run only when Cheerio output is empty or materially incomplete",https://apify.com/apify/playwright-scraper
5,compass/crawler-google-places,address_validation,"Validate office address phone website and Google business profile signals","street_address; city; state_region; country; primary_phone; website_url; url_quality",corroboration,"Run for candidates with public physical office signals",https://apify.com/compass/crawler-google-places/
6,vdrmota/contact-info-scraper,contact_extraction,"Extract public emails phones and social links from official websites","primary_email; secondary_email; primary_phone; secondary_phone; corporate_linkedin_url",field_extraction,"Run on official homepage contact about team imprint privacy pages",https://apify.com/vdrmota/contact-info-scraper
7,lukaskrivka/contact-details-merge-deduplicate,contact_normalization,"Merge duplicated contact outputs into one clean domain-level contact record","primary_email; secondary_email; primary_phone; secondary_phone; contact_validation_status",normalization,"Run after contact-info-scraper batches complete",https://apify.com/lukaskrivka/contact-details-merge-deduplicate/input-schema
8,automation-lab/linkedin-company-scraper,company_enrichment,"Enrich public LinkedIn company pages","corporate_linkedin_url; description; headquarters; industry; company_size; specialties; website_url",corroboration,"Run only on matched company LinkedIn URLs or slugs",https://apify.com/automation-lab/linkedin-company-scraper
9,thirdwatch/linkedin-profile-scraper,decision_maker_enrichment,"Enrich public decision-maker profiles","contact_first_name; contact_last_name; contact_full_name; contact_job_title; contact_location; contact_linkedin_profile",corroboration,"Run only for public profiles already tied to the entity by official site news or LinkedIn company page",https://apify.com/thirdwatch/linkedin-profile-scraper
10,scrapeio/google-news-scraper,recent_signals,"Collect recent investments hires commitments acquisitions and press signals","recent_activity; recent_activity_date; recent_activity_source_url; source_urls",corroboration,"Run after entity identity is confirmed",https://apify.com/scrapeio/google-news-scraper
11,account56/email-verifier,email_validation,"Validate deliverability of public extracted emails","primary_email_validation_code; primary_email_validation_explanation; email_quality_assessment_primary; secondary_email_validation_code; secondary_email_validation_explanation; email_quality_assessment_secondary",validation,"Run only on public source-backed emails; never use as identity proof",https://apify.com/account56/email-verifier
12,automation-lab/crunchbase-scraper,investment_enrichment,"Enrich portfolio funding investor founder and category signals when a Crunchbase API key exists","recent_activity; investing_sectors; portfolio_signals; founders; funding_rounds; source_urls",licensed_corroboration,"Optional and only with valid Crunchbase API license",https://apify.com/automation-lab/crunchbase-scraper
13,vivid_astronaut/company-enrichment,company_enrichment,"Bulk domain or company-name enrichment for firmographics and social profiles","domain; company_name; industry; employee_count; location; social_profiles",secondary_corroboration,"Use only as secondary metadata and never as final truth",https://apify.com/vivid_astronaut/company-enrichment
14,apify/web-scraper,custom_extraction,"General browser scraper for pages requiring custom pageFunction logic","custom fields from non-standard pages; source_snapshot_date",fallback_extraction,"Use when website-content-crawler plus Cheerio or Playwright cannot capture needed fields",https://apify.com/apify/web-scraper
15,apify/rag-web-browser,single_url_fetch,"Fast search-and-fetch or URL fetch returning Markdown for one-off evidence capture","source text; source_snapshot_date; source_urls",optional_fetch,"Use as a fast evidence fetcher only; do not create RAG artifacts for this dataset-only task",https://apify.com/apify/rag-web-browser
16,custom/private-iapd-sec-validation,regulatory_validation,"Direct SEC IAPD Form ADV EDGAR and 13F validation for US advisers and investment managers","entity_validation_status; location; aum_text; principal_title; regulatory_source_url; confidence_score; validation_notes",authoritative_validation,"Build as private actor or direct Python module; highest priority when the entity is an RIA or filer",https://adviserinfo.sec.gov/
